,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memory_size,accelerator_tdp
AMD;FirePro;W9100,,AMDFirePro_W9100,GPU,AMD,OpenCL_2_0,GCN_2_0,16GB,275
AMD;FirePro;W5000,DVI,AMDFirePro_W5000_DVI,GPU,AMD,OpenCL_2_0,GCN,2GB,75
AMD;FirePro;W5000,,AMDFirePro_W5000,GPU,AMD,OpenCL_1_2,GCN,2GB,75
AMD;FirePro;S7150,x2,AMDFirePro_S7150_x2,GPU,AMD,OpenCL_2_0,GCN_3_0,16GB,265
AMD;FirePro;S7150,,AMDFirePro_S7150_ActiveCooling,GPU,AMD,OpenCL_2_0,GCN_3_0,8GB,150
AMD;FirePro;S10000,12,AMDFirePro_S10000_12GB,GPU,AMD,OpenCL_2_0,GCN,12GB,375
AMD;FirePro;S10000,,AMDFirePro_S10000,GPU,AMD,OpenCL_2_0,GCN,6GB,375
AMD;FirePro;2270,x1,AMDFirePro_2270_x1,GPU,AMD,OpenCL_1_2,TeraScale2,512MB,15
AMD;FirePro;2270,1GB,AMDFirePro_2270_1GB,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,15
AMD;FirePro;2270,,AMDFirePro_2270,GPU,AMD,OpenCL_1_2,TeraScale2,512MB,15
AMD;FirePro,W9000,AMDFirePro_W9000,GPU,AMD,OpenCL_1_2,GCN,6GB,274
AMD;FirePro,W8100,AMDFirePro_W8100,GPU,AMD,OpenCL_2_0,GCN_2_0,8GB,220
