,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;A6;7;7350B;APU,PRO,2,3.0G,2,64-bit,unset,unset,AMD_A6_PRO_7_7350B_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A6;7;8350B;APU,PRO,2,3.1G,2,64-bit,unset,unset,AMD_A6_PRO_7_8350B_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A6;7;9210,APU,2,2.4G,2,64-bit,unset,unset,AMD_A6_7_9210_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A6;7;9220,APU,2,2.5G,2,64-bit,unset,unset,AMD_A6_7_9220_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A6;7;9220C,APU,2,1.8G,2,64-bit,unset,unset,AMD_A6_7_9220C_APU,AMD,6,160KB,1MB,unset,1866M,unset
AMD;A6;7;9225,APU,2,2.6G,2,64-bit,unset,unset,AMD_A6_7_9225_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A6;7;9500;APU,,2,3.5G,2,64-bit,unset,unset,AMD_A6_7_9500_APU,AMD,65,unset,1MB,unset,2400M,DDR4
AMD;A6;7;9500;APU,PRO,2,3.5G,2,64-bit,unset,unset,AMD_A6_PRO_7_9500_APU,AMD,65,unset,1MB,unset,2400M,DDR4
AMD;A6;7;9500B;APU,PRO,2,2.3G,2,64-bit,unset,unset,AMD_A6_PRO_7_9500B_APU,AMD,15,unset,1MB,unset,1866M,DDR4
AMD;A6;7;9500E;APU,,2,3.0G,2,64-bit,unset,unset,AMD_A6_7_9500E_APU,AMD,35,unset,1MB,unset,2400M,DDR4
AMD;A6;7;9500E;APU,PRO,2,3.0G,2,64-bit,unset,unset,AMD_A6_PRO_7_9500E_APU,AMD,35,unset,1MB,unset,2400M,DDR4
AMD;A6;7;9550,APU,2,3.8G,2,64-bit,unset,unset,AMD_A6_7_9550_APU,AMD,65,unset,1MB,unset,2400M,DDR4
AMD;A6;7050B,PRO,2,2.2G,2,64-bit,unset,unset,AMD_A6_PRO_7050B,AMD,100,unset,1MB,unset,1600M,DDR3L
AMD;A6;7400B,PRO,2,3.5G,2,64-bit,unset,unset,AMD_A6_PRO_7400B,AMD,65,unset,1MB,unset,1866M,DDR3
AMD;A8,6410,4,2.0G,4,64-bit,unset,unset,AMD_A8_6410,AMD,15,unset,2MB,unset,1866M,DDR3L
AMD;A8,6500,4,3.5G,4,64-bit,unset,unset,AMD_A8_6500,AMD,65,192KB,4MB,unset,1866M,DDR3
AMD;A8,6500B,4,3.5G,4,64-bit,unset,unset,AMD_A8_6500B,AMD,65,192KB,4MB,unset,1866M,DDR3
AMD;A8,6500T,4,2.1G,4,64-bit,unset,unset,AMD_A8_6500T,AMD,45,192KB,4MB,unset,1866M,DDR3
AMD;A8,6600K,4,3.9G,4,64-bit,unset,unset,AMD_A8_6600K,AMD,65,192KB,4MB,unset,1866M,DDR3
AMD;A8,7100,4,1.8G,4,64-bit,unset,unset,AMD_A8_7100,AMD,20,unset,4MB,unset,1600M,DDR3
AMD;A8,7200P,4,2.4G,4,64-bit,unset,unset,AMD_A8_7200P,AMD,100,unset,4MB,unset,1866M,DDR3
AMD;A8,7410,4,2.2G,4,64-bit,unset,unset,AMD_A8_7410,AMD,15,unset,2MB,unset,1866M,DDR3L
AMD;A8,7600,4,3.1G,4,64-bit,unset,unset,AMD_A8_7600,AMD,65,256KB,4MB,unset,2133M,DDR3
AMD;A8,7650K,4,3.3G,4,64-bit,unset,unset,AMD_A8_7650K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A8,7650K,4,3.3G,4,64-bit,unset,unset,AMD_A8_7650K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A8,7670K,4,3.6G,4,64-bit,unset,unset,AMD_A8_7670K,AMD,95,256KB,4MB,unset,2133M,DDR3
AMD;A8,8600P,4,1.6G,4,64-bit,unset,unset,AMD_A8_8600P,AMD,unset,unset,2MB,unset,2133M,DDR3
AMD;A8;6;8600B;APU,PRO,4,1.6G,4,64-bit,unset,unset,AMD_A8_PRO_6_8600B_APU,AMD,15,unset,2MB,unset,2133M,DDR3L
AMD;A8;6;8600P,APU,4,1.6G,4,64-bit,unset,unset,AMD_A8_6_8600P_APU,AMD,15,unset,2MB,unset,2133M,DDR3
AMD;A8;6;8650B;APU,PRO,4,3.2G,4,64-bit,unset,unset,AMD_A8_PRO_6_8650B_APU,AMD,65,unset,4MB,unset,2133M,DDR3
AMD;A8;7;9600;APU,,4,3.1G,4,64-bit,unset,unset,AMD_A8_7_9600_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A8;7;9600;APU,PRO,4,3.1G,4,64-bit,unset,unset,AMD_A8_PRO_7_9600_APU,AMD,65,unset,2MB,unset,2400M,DDR4
AMD;A8;7;9600;APU,PRO,4,2.4G,4,64-bit,unset,unset,AMD_A8_PRO_7_9600_APU,AMD,15,unset,2MB,unset,1866M,DDR4
AMD;A8;7;9630B,PRO,4,2.6G,4,64-bit,unset,unset,AMD_A8_PRO_7_9630B,AMD,35,unset,2MB,unset,2400M,DDR4
AMD;A8;7150B,PRO,4,1.9G,4,64-bit,unset,unset,AMD_A8_PRO_7150B,AMD,100,unset,4MB,unset,1600M,DDR3L
AMD;A8;7600B,PRO,4,3.1G,4,64-bit,unset,unset,AMD_A8_PRO_7600B,AMD,65,unset,4MB,unset,2133M,DDR3
AMD;A9;7;9410,APU,2,2.9G,2,64-bit,unset,unset,AMD_A9_7_9410_APU,AMD,10-25/25,unset,1MB,unset,2133M,DDR4
AMD;A9;7;9420,APU,2,3.0G,2,64-bit,unset,unset,AMD_A9_7_9420_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A9;7;9425,APU,2,3.1G,2,64-bit,unset,unset,AMD_A9_7_9425_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;Athlon,220GE,2,3.4G,4,64-bit,unset,unset,AMDAthlon_220GE,AMD,35,192KB,1MB,4MB,2667M,unset
AMD;Athlon,240GE,2,3.5G,4,64-bit,unset,unset,AMDAthlon_240GE,AMD,35,192KB,1MB,4MB,2667M,unset
AMD;Athlon,3000G,2,3.5G,4,64-bit,unset,unset,AMDAthlon_3000G,AMD,35,192KB,1MB,4MB,2667M,unset
AMD;Athlon,320GE,2,3.5G,4,64-bit,unset,unset,AMDAthlon_320GE,AMD,35,192KB,1MB,4MB,2667M,DDR4
AMD;Athlon;200GE,,2,3.2G,4,64-bit,unset,unset,AMDAthlon_200GE,AMD,35,192KB,1MB,4MB,2667M,unset
AMD;Athlon;200GE,PRO,2,3.2G,4,64-bit,unset,unset,AMDAthlon_PRO_200GE,AMD,35,192KB,1MB,4MB,2667M,unset
